id,Date,Aéroport_départ,depart_x,depart_y,départ_IATA,Heurelocale,destination_IATA,Durée_trajet,HeureArrivé,Aéroport_Destination,destination_x,destination_y,Num_Vol,Prix_Camp1,Compagnie
,2021-04-20,Antalya Airport,36.90591678165104,30.80168679901064,AYT,08:35,SVO,03:42,12:17,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,N41804,139,Nordwind Airlines
,2021-04-20,Antalya Airport,36.90591678165104,30.80168679901064,AYT,09:00,SVO,03:40,12:40,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,RL7710,141,Royal Flight
,2021-04-19,Antalya Airport,36.90591678165104,30.80168679901064,AYT,14:20,SVO,04:20,18:00,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,SU2143,140,Aeroflot
,2021-04-19,Antalya Airport,36.90591678165104,30.80168679901064,AYT,15:25,SVO,03:43,19:12,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,EO1802,149,Hewa Bora Airways
,2021-04-20,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,SVO,04:00,AYT,03:42,07:42,Antalya Airport,36.90591678165104,30.80168679901064,RL7709,179,Royal Flight
,2021-04-20,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,SVO,10:00,LHR,04:00,14:00,Heathrow Airport,51.47397190914563,-0.4547353841720964,SU2578,166,Aeroflot
,2021-04-20,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,SVO,03:10,AYT,03:43,07:53,Antalya Airport,36.90591678165104,30.80168679901064,N41803,175,Nordwind Airlines
,2021-04-20,Antalya Airport,36.90591678165104,30.80168679901064,AYT,15:30,SVO,03:44,19:17,Aéroport de Moscou-Cheremetievo,55.9741553226849,37.412529654098726,N41802,140,Nordwind Airlines
,2021-04-20,Antalya Airport,36.90591678165104,30.80168679901064,AYT,16:40,FRA,03:45,20:25,Flughafen Frankfurt/Main,50.04636632467995,8.561325677686595,XQ140,80,SunExpress
,2021-04-20,Antalya Airport,36.90591678165104,30.80168679901064,AYT,16:40,FRA,03:50,20:30,Flughafen Frankfurt/Main,50.04636632467995,8.561325677686595,LH9595,84,Lufthansa
