6;2022-01-22;Monastir;35.76108;10.753155;Düsseldorf; 51.278328;6.76558;MIR;DUS;08:15;11:10;02:55;Nouvelair;214;165
7;2022-01-22;Düsseldorf; 51.278328;6.76558;Dubai;55.352917;25.248665;DUS;DXB;14:30;00:05;09:35;Emirates;523;
7;2022-01-22;Düsseldorf; 51.278328;6.76558;Dubai;55.352917;25.248665;DUS;DXB;20:45;06:15;09:30;Emirates;546;
