id;Date;Aéroport_départ;depart_x;depart_y;Aéroport_Destination;destination_x;destination_y;départ_IATA;destination_IATA;Heurelocale;HeureArrivé;Durée_trajet;Compagnie;Num_Vol;Prix_Camp1;
11;2021-04-23;Antalya Airport;36.90591678165104;30.80168679901064;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AYT;SVO;10:00;13:55;03:55;Royal Flight;RL7702;150;
12;2021-04-19;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Antalya Airport;36.90591678165104;30.80168679901064;SVO;AYT;16:35;20:19;03:44;Aeroflot;SU2146;180;
13;2021-04-23;Antalya Airport;36.90591678165104;30.80168679901064;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AYT;SVO;17:30;21:14;03:44;Nordwind Airlines;N41802;152;
14;2021-04-23;Antalya Airport;36.90591678165104;30.80168679901064;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AYT;SVO;17:40;21:23;03:43;Hewa Bora Airways;EO1804;149;
15;2021-04-23;Antalya Airport;36.90591678165104;30.80168679901064;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;AYT;SVO;18:00;21:40;03:40;Royal Flight;RL7710;147;
16;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Antalya Airport;36.90591678165104;30.80168679901064;SVO;AYT;02:20;06:04;03:44;Hewa Bora Airways;EO1803;185;
17;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Antalya Airport;36.90591678165104;30.80168679901064;SVO;AYT;03:05;06:48;03:43;Royal Flight;RL7701;181;
18;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;SVO;AMS;05:40;09:35;03:55;KLM;KL900;150;
19;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Amsterdam Airport Schiphol;52.315831708548586;4.771203370264353;SVO;AMS;06:05;09:55;03:50;AirBridgeCargo Airlines;RU535;129;
20;2021-04-23;Aéroport de Moscou-Cheremetievo;55.9741553226849;37.412529654098726;Antalya Airport;36.90591678165104;30.80168679901064;SVO;AYT;08:30;12:13;03:43;Nordwind Airlines;N41801;190;
